age,sister,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180
30,72074,5,2,4,3,5,1,2,3,1,4,4,1,2,5,2,3,4,3,3,2,1,1,1,2,2,3,1,2,2,1,5,3,1,1,3,3,1,1,5,5,2,2,3,1,5,1,3,4,3,1,3,3,5,3,4,5,5,1,5,5,3,4,3,5,4
30,23891,4,2,4,1,1,1,1,4,2,1,1,5,2,1,4,4,5,4,3,4,1,1,1,1,1,5,5,5,1,4,4,3,1,2,1,2,4,1,1,4,1,1,3,1,2,2,4,1,4,1,3,2,4,1,4,4,1,1,4,2,2,5,4,4,4
30,56519,2,4,2,2,4,1,1,5,2,2,2,1,2,5,1,2,1,2,2,1,1,1,1,1,2,4,1,2,1,2,4,2,2,4,1,4,4,1,2,5,5,5,2,2,5,1,2,1,1,1,4,4,4,1,2,4,1,1,3,1,2,2,1,2,1
50,116470,5,5,2,5,4,3,2,3,1,5,4,5,5,4,1,1,5,3,1,2,1,1,4,1,4,3,1,4,1,4,5,1,3,1,4,5,1,5,5,2,1,1,2,1,5,1,2,1,1,1,5,3,1,2,4,2,5,5,1,1,3,4,5,1,2
60,101558,2,4,5,2,4,1,1,3,5,4,4,5,5,5,5,4,5,3,4,4,5,2,2,3,5,5,4,4,2,4,2,5,1,3,2,4,5,5,2,5,2,4,5,5,5,3,5,2,1,1,5,4,5,2,3,5,4,2,4,5,5,5,3,4,4
30,117122,2,1,3,5,1,1,4,5,3,1,1,1,1,5,1,4,5,2,3,5,4,2,1,1,1,1,1,3,1,2,5,2,1,2,1,1,1,5,1,5,1,1,3,1,1,1,5,1,1,4,4,4,4,1,3,2,1,1,3,2,1,2,1,2,2
40,27474,4,4,5,2,2,5,1,3,2,5,5,2,3,5,4,4,5,4,4,2,2,5,2,5,2,5,1,4,1,5,4,1,2,5,2,4,4,5,3,4,1,2,4,5,5,4,4,3,5,1,5,4,5,5,4,5,5,1,5,1,3,4,5,3,2
50,55826,1,2,5,5,1,1,2,4,1,2,1,1,1,5,1,3,1,1,3,4,1,1,1,1,1,5,1,4,1,1,1,1,1,3,1,4,1,5,1,2,4,4,1,1,5,3,4,1,2,1,1,2,5,2,1,5,4,3,1,1,3,4,1,4,3
50,84503,4,1,4,5,1,3,4,4,1,3,1,1,1,5,1,3,5,2,2,1,2,1,1,1,1,3,1,4,1,1,2,1,1,3,1,1,1,5,1,4,1,1,5,2,5,3,3,1,5,1,1,4,5,1,4,4,3,3,5,2,3,3,1,4,3
60,26773,5,3,5,4,5,5,1,4,4,3,5,5,3,3,4,1,1,1,2,4,1,4,1,5,1,5,5,3,1,4,5,2,1,4,2,2,4,1,4,4,1,3,2,4,4,2,1,1,4,1,1,4,5,2,3,5,2,2,4,4,3,5,5,5,5
30,52814,4,4,3,5,2,1,2,1,1,2,1,1,2,5,1,2,1,1,5,5,1,1,1,1,1,5,1,4,1,4,5,1,1,2,2,4,1,5,1,5,1,1,4,1,4,4,5,1,2,1,4,5,4,1,3,3,2,2,5,2,4,4,1,3,4
30,85141,4,3,4,2,5,1,1,3,5,2,1,4,2,2,5,5,3,4,1,1,3,4,3,4,3,4,1,2,3,4,1,2,1,4,5,5,1,5,5,4,2,3,1,5,5,3,3,4,5,1,4,4,4,2,3,5,5,1,1,3,3,4,4,5,3
